Title:
Authors:
Table:
================================================================================
Byte-by-byte Description of file: catNB6_full.dat
--------------------------------------------------------------------------------
 Bytes Format Units  Label     Explanations
--------------------------------------------------------------------------------
   1- 3  I3         ---    ID             [1/340]? Source ID
   5- 9  F5.1       mJy    $S_{\nu,flux}$ [0.8/133.0]? Dendrogram contour flux
  11-14  F4.1   mJy.beam-1 $S_{\nu,peak}$ [1.8/54.7]? Brightest pixel flux
  16-20  F5.3   mJy.beam-1 $S_{\nu, err}$ [0.35/1.16]? Noise
  22-26  F5.3       arcsec FWHM$_{maj}$   [0.03/0.31]? Source FWHM (maj)
  28-32  F5.3       arcsec FWHM$_{min}$   [0.01/0.18]? Source FWHM (min)
  34-65  A32        ---    RA (ICRS)      RA coordinate (ICRS)
  67-98  A32        ---    Dec (ICRS)     Dec coordinate (ICRS)
    100  I1         ---    Score          [1/2]? 2=core, 1=likely core
102-109  A8         ---    Source         Type of source
111-113  I3         ---    ID$_{Band 3}$  [2/323]? Source ID match from Band 3
115-117  I3         K      $T_B$          [13/409]? Brightness temperature
119-123  F5.2       ---    $\alpha$       [-1.01/4.3]? Spectral index
125-128  F4.2       ---    $\alpha_{err}$ [0.01/0.4]? Spectral index error
130-133  F4.1      solMass Mass           [0.8/39.71]? Core mass
--------------------------------------------------------------------------------
Notes:
--------------------------------------------------------------------------------
326   9.6  6.5 0.470 0.078 0.037 17:47:19.536                     -28:22:32.448                    2 core     296  49  2.40 0.10  5.6
327   8.2  5.7 0.470 0.053 0.048 17:47:19.5408                    -28:22:32.34                     2 core     297  42  1.90 0.10  4.9
330  13.7  7.3 0.470 0.089 0.052 17:47:19.0032                    -28:22:10.524                    2 core     299  54  2.00 0.10  7.9
332   6.8  3.6 0.470 0.070 0.055 17:47:20.112                     -28:22:04.584                    2 core     292  26  2.80 0.20  4.8
333   3.6  2.6 0.512 0.060 0.040 17:47:19.5168                    -28:22:32.556                    1 core     295  19  1.90 0.30  3.6
334  10.5  3.5 0.512 0.095 0.060 17:47:18.9768                    -28:22:10.488                    2 core     300  26  3.00 0.20  7.7
336   0.8  2.6 0.512 0.032 0.017 17:47:20.1936                    -28:22:03.864                    2 core     301  19  2.10 0.40  0.9
337   7.7  4.9 0.591 0.077 0.042 17:47:19.5528                    -28:22:35.076                    2 core     308  36  2.50 0.20  5.2
338   7.6  7.1 0.879 0.066 0.033 17:47:18.5184                    -28:22:11.496                    2 core     319  53  3.10 0.20  5.2
339   6.0  7.0 1.155 0.046 0.037 17:47:19.8408                    -28:22:40.044                    2 core     323  51  2.00 0.20  5.2
340   9.0  9.0 1.155 0.054 0.035 17:47:19.7712                    -28:22:40.044                    2 core     322  67  2.50 0.20  6.0
